4085 FAWN CIR,SACRAMENTO,95823,CA,3,2
2930 LA ROSA RD,SACRAMENTO,95815,CA,1,1
2113 KIRK WAY,SACRAMENTO,95822,CA,3,1
4533 LOCH HAVEN WAY,SACRAMENTO,95842,CA,2,2
7340 HAMDEN PL,SACRAMENTO,95842,CA,2,2
6715 6TH ST,RIO LINDA,95673,CA,2,1
6236 LONGFORD DR Unit 1,CITRUS HEIGHTS,95621,CA,2,1
250 PERALTA AVE,SACRAMENTO,95833,CA,2,1
