street,city,zip,state,beds,baths
3526 HIGH ST,SACRAMENTO,95838,CA,2,1
51 OMAHA CT,SACRAMENTO,95823,CA,3,1
2796 BRANCH ST,SACRAMENTO,95815,CA,2,1
2805 JANETTE WAY,SACRAMENTO,95815,CA,2,1
6001 MCMAHON DR,SACRAMENTO,95824,CA,2,1
5828 PEPPERMILL CT,SACRAMENTO,95841,CA,3,1
6048 OGDEN NASH WAY,SACRAMENTO,95842,CA,3,2
2561 19TH AVE,SACRAMENTO,95820,CA,3,1
11150 TRINITY RIVER DR Unit 114,RANCHO CORDOVA,95670,CA,2,2
7325 10TH ST,RIO LINDA,95673,CA,3,2
645 MORRISON AVE,SACRAMENTO,95838,CA,3,2
